# Constructed from biom file																																		
#Sample ID	A2	A5	A7	A9	A10	A11	A16	A17	A18	A19	A22	A23	B6	B8	B12	B28	B29	B30	B32	B34	B35a	B35b	B37	B39	B42	B44	B47	B49	B51	C53	C54	C57	C60	C62
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	21.48453	1.46185	26.20416	0.4327	27.88413	8.40996	3.0085	0	1.72744	1.31573	0.02822	27.24134	37.93873	0.16111	12.40556	26.41965	7.43402	0.14019	3.13074	12.64484	32.19279	12.51899	6.39929	8.57186	25.76889	20.29114	51.24069	17.9036	0.84942	0.06674	13.42098	0.21369	11.37219	32.88046
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_noname	0.01387	0	0.01216	0	0.08169	0	0	0	0	0	0	0	0	0	0	0	0.01049	0	0	0.18979	0.00781	0	0	0	0	0	0	0.22211	0	0	0	0	0	0.01704
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified	0.04059	0	0.05102	0	0.39087	0.5116	0	0	0	0	0	0	0.23871	0	0	0.07577	0.01705	0	0	0	0.03665	0	0.15306	0	0.00992	0.02792	0	0.27281	0.00924	0.00705	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Parvimonas	0.05009	0	0.01005	0	0.4112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01128	0.00464	0	0	0	0	0.0592	0	0.01394	0	0	0	0	0	0.61948
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	0.15429	0	0	0	0.72643	0	0	0	0	0	0	0	0.06215	0	0	0	0	0	0	0.20139	0.07448	0.00119	0	0	0	0.04364	0	0.04467	0	0	0	0	0	0.54469
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Catonella	0.02464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06583	0.00185	0	0	0	0	0	0	0	0	0	0	0	0	0.06437
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Johnsonella	0	0	0	0	1.55031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoanaerobaculum	0	0	0.03505	0	1.49151	0	0	0	0	0	0	0	0	0	0	0.17129	0	0	0	0.14196	0.03606	0	0	0	0	0.13993	0	0.14621	0	0	0.81029	0	0	0.0393
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname	0.03765	0	0.16414	0	0.89711	0.07623	0	0	0	0	0	0	1.17273	0	0.00133	0.22318	0.02947	0	0	0.12749	0.00298	0	0.10904	0.03928	0.23641	0.10998	0	1.37013	0	0	0	0	0.00891	0.06977
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Oribacterium	0.2117	0	0.79091	0	0.52743	2.54623	0.0057	0	0	0	0	0	0.58228	0	0.07512	0.50331	0.22247	0	0	0.15005	0.13012	0.00505	0.1646	0.20997	1.23762	0.13136	0	2.3038	0	0	0	0	0	0.00434
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Shuttleworthia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01367	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Stomatobaculum	0.06393	0.01912	1.44307	0	1.71563	0.36767	0.0244	0	0	0	0	0	0	0	0.01608	0.68165	0.16146	0	0	0.00303	0.05151	0.0138	0.1625	0	0.20097	0.0241	0	0.3606	0	0	0.83169	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Filifactor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01389	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname	0	0	0	0	0.02477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22294	0	0	0	0	0	0	0	0.00525	0	0	0	0	0	0.16307
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus	0.10695	0	0.20614	0	0.18007	0	0	0	0	0	0	0	3.25244	0	0.00931	0	0.01106	0	0	0.04473	0	0	0.21689	0.00755	0.00481	0.00658	0	0.93222	0.01371	0	0	0	0	0.11186
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Solobacterium	0.19018	0	0.63314	0	0.86544	0	0.02062	0	0	0	0	0	0.87683	0	0.02775	0	0.07752	0	0	0.02986	0.09399	0	0	0	0	0.0852	0	3.72647	0	0	0	0	0	0.0716
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Anaeroglobus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01265	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister	0.01052	0	0.02625	0	0.43322	0	0.03221	0	0	0	0	0	0	0	0	0.03396	0	0	0	0.08621	0.00611	0	0	0	0	0.01221	0	0.23872	0	0	0	0	0	0.03052
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megasphaera	0	0	2.78743	0	0	0.79696	0	0	0	0	0	0	0.0341	0	0	0.21923	0.00326	0	0	0	0.11178	0	0	0	0.2581	0	0	0.89369	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Selenomonas	0	0	0.00145	0	0.13195	0	0	0	0	0	0	0	0	0	0	0.47486	0.01234	0	0	0.13709	0.07708	0	0	0	0	0.20099	0	0.60044	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella	16.88064	0.7879	30.19205	0.03218	4.92047	34.85175	0.15625	0.00375	0.18251	0.44271	0.02217	20.57909	13.89796	0.07511	1.6874	14.82566	1.38299	0.02612	0.28093	10.54944	18.40569	2.79939	2.90293	3.60021	7.71337	14.5244	3.31615	24.16156	0.19804	0.30694	45.70207	0.05284	1.45409	3.96892
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium	0.2446	0	0.06816	0	4.98923	0	0.03259	0	0	0	0	0	0.79559	0	0	0.69389	0	0	0	0.32256	0.02129	0.00963	0	0.0335	0	0.19919	0	0.41298	0	0	0.99928	0	0	1.2902
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia	0.11278	0	0.13435	0	0.24941	0.03196	0	0	0	0	0	0	1.52849	0	0.47458	0.88108	0	0	0	0.75297	0.56649	0.15804	0	0.00512	0.07276	0.67806	0	2.222	0	0	1.52278	0	0.03581	0.37177
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichiaceae_unclassified	0.19969	0	0.16304	0	0.53065	1.9938	0	0	0	0	0	0	2.18405	0	0.48268	0.47898	0.01243	0	0	0.69062	0.53927	0.13498	0	0.01924	0.19456	1.7198	0	1.61537	0	0	2.40657	0	0.02373	0.16809
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas	0.05217	0.64939	0.01144	0.12714	0.25279	1.27697	0.0113	4.05961	92.07835	3.57123	0.0098	1.68556	0	2.21233	0	0	0	0.04694	0	0	0.05687	0	0	0	0	0	0	0	0	9.87223	0	5.184	0.04313	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Afipia	0	0	0	0	0	0	0	0.04281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Brucellaceae|g__Brucella	0	0	0	0.06598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02985	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Brucellaceae|g__Ochrobactrum	0	0	0	0.77528	0	0	0	0	0	0	0	0	0	0.15191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01876	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Hyphomicrobiaceae|g__Hyphomicrobiaceae_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03239	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Agrobacterium	0	0	0	1.53993	0	0	0	0.1158	0	0.03384	0	0	0	0.01635	0	0	0	0	0	0	0	0	0.25381	0	0	0	0	0	0	0	0	0.08608	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Rhizobium	0	0	0	0.02949	0	0	0	0.04357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30505	0	0	0	0	0	0	0	0	0.04404	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Paracoccus	0	0	0	0	0	0	0	0.20654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Roseomonas	0	0	0	0.01457	0	0	0	0	1.03887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03055	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Blastomonas	0	0	0	0	0	0	0	0	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33103	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium	0	0	0	0.70354	0.00687	0	0	8.37846	0	0.79545	0	0	0	0	0	0	0	0.2552	0.02177	0	0	0	0.25875	0	0	0	0	0	41.22036	22.69927	0	0.11152	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingopyxis	0	0	0	0	0	0	0	0	0.28239	0	0	0	0	0	0	0	0.06096	0	0	0	0	0	0	0	0	0	0	0	0	0.07748	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Achromobacter	0	0	0	1.10818	0	0	0	0.96921	0	0	0	0	0	3.11514	0	0	0	0.68567	0	0	0	0	0.0686	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Bordetella	0	0	0	0.42463	0	0	0	0.51237	0	0	0	0	0	0.78198	0	0	0	0.30993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Lautropia	6.48585	0	0	0	1.70987	0.12741	0	0	0	0	0.00998	0.28799	0.3664	0	0.0576	0.78456	0	0	0	7.86787	1.42485	0.16002	0	0.0141	1.04892	8.93539	0	0.02204	0.03157	0	0.95762	0	0.05	14.32186
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Thiomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43902	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Alicycliphilus	0	0	0	0	0	0	0	0.66052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonas	0	0.09105	0	0	0	0	0	0	0	6.09826	0	0	0	0	0	0	0.04291	0.11218	0	0	0	0	0	0	0	0	0	0	0.01927	0.02943	0	5.19221	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Delftia	0	17.02878	0	0	0	0	0	0	0	0.0291	0	0	0	0.74179	0	0	0	9.19957	0	0	0	0	0.00975	0	0	0	0	0	0	11.65309	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Eikenella	0.19324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01548	0	0	0.02951	0.102	0	0	0	0	0	0	0	0	0	0	0	0	0.12932
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Kingella	0.12339	0	0.1134	0	0	0	0	0	0	0	0	0	0	0	0.16619	0.15111	0.24419	0	0	0.19178	0.20261	0.16325	0	0.00792	0.09744	0.5422	0	0	0	0	0	0	0	0.83802
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria	6.61088	0	0	0	0.73101	0	0	0	0.15043	0	0.07045	0	1.14426	0	0.34109	0.62691	2.0797	0	0	44.99426	1.42509	0.2002	0	1.65305	0.05722	5.64664	0	1.84164	0.07636	0	4.28058	0	0.05996	4.28252
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Rhodocyclaceae|g__Methyloversatilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
